id,date,count,smallest,largest
1,2025-12-02,11,0.0016709174,0.9463242708
2,2015-01-01,14,0.0055789822,0.7799019007
3,2015-01-02,18,0.004748484,1.3615700154
4,2015-01-03,8,0.0391340663,0.4613600429
5,2015-01-04,13,0.0055278338,0.5297122041
6,2015-01-05,11,0.0071871213,1.1482593191
7,2015-01-06,12,0.0368599699,1.1588840318
8,2015-01-07,8,0.0114433973,0.2642652014
9,2015-01-08,13,0.0055533491,1.1016407159
10,2021-11-20,29,0.0030658788,0.6339280645
11,2021-11-21,17,0.0025150984,0.7345814866
12,2021-11-22,17,0.0061172324,0.9818383215
13,2021-11-23,16,0.0057617575,0.5129085974
14,2021-11-24,26,0.0046833323,0.6516883822
15,2021-11-25,22,0.0042712499,0.3631114793
16,2021-11-26,14,0.0076657557,0.3819794322
17,2021-11-27,19,0.0050647146,0.4898239078
18,2025-12-02,11,0.0016709174,0.9463242708
19,2025-12-02,11,0.0016709174,0.9463242708
20,2025-12-02,11,0.0016709174,0.9463242708
